"Date","Ozone AQI Value","Main Pollutant","Site Name","Site ID","Source"
"01/14/2014","46","","STATION NEAR INTERSECTION OF WHITEROCK CANYON RD & QURAY CANAL","49-047-7022","AQS"
"01/15/2014","71","","Not Available","49-047-2003","AQS"
"01/16/2014","58","","Not Available","49-047-2003","AQS"
"01/17/2014","74","","Not Available","49-047-2003","AQS"
"01/18/2014","105","","Not Available","49-047-2003","AQS"
"01/19/2014","93","","Not Available","49-047-2003","AQS"
"01/20/2014","122","","Not Available","49-047-2003","AQS"
"01/21/2014","90","","STATION NEAR INTERSECTION OF WHITEROCK CANYON RD & QURAY CANAL","49-047-7022","AQS"
"01/22/2014","80","","Not Available","49-047-2003","AQS"
"01/23/2014","64","","Not Available","49-047-2003","AQS"
"01/24/2014","48","","Not Available","49-047-2003","AQS"
"01/25/2014","80","","Not Available","49-047-2003","AQS"
"01/26/2014","126","","Not Available","49-047-2003","AQS"
"01/27/2014","126","","Not Available","49-047-2003","AQS"
"01/28/2014","44","","Little Mountain","49-047-0014","AQS"
"01/29/2014","43","","Little Mountain","49-047-0014","AQS"
"01/30/2014","41","","Little Mountain","49-047-0014","AQS"
"01/31/2014","44","","Not Available","49-047-2003","AQS"
"02/01/2014","44","","Not Available","49-047-2003","AQS"
"02/02/2014","44","","Little Mountain","49-047-0014","AQS"
"02/03/2014","51","","Not Available","49-047-2003","AQS"
"02/04/2014","48","","Not Available","49-047-2003","AQS"
"02/05/2014","41","","Little Mountain","49-047-0014","AQS"
"02/06/2014","44","","STATION NEAR INTERSECTION OF WHITEROCK CANYON RD & QURAY CANAL","49-047-7022","AQS"
"02/07/2014","64","","Not Available","49-047-2003","AQS"
"02/08/2014","143","","Not Available","49-047-2003","AQS"
"02/09/2014","40","","STATION NEAR INTERSECTION OF WHITEROCK CANYON RD & QURAY CANAL","49-047-7022","AQS"
"02/10/2014","41","","STATION NEAR INTERSECTION OF WHITEROCK CANYON RD & QURAY CANAL","49-047-7022","AQS"
"02/11/2014","43","","Not Available","49-047-2002","AQS"
"02/12/2014","46","","STATION NEAR INTERSECTION OF WHITEROCK CANYON RD & QURAY CANAL","49-047-7022","AQS"
"02/13/2014","39","","Not Available","49-047-2003","AQS"
"02/14/2014","38","","Dinosaur NM - West Entrance Housing","49-047-1002","AQS"
"02/15/2014","31","","STATION NEAR INTERSECTION OF WHITEROCK CANYON RD & QURAY CANAL","49-047-7022","AQS"
"02/16/2014","41","","Vernal","49-047-1003","AQS"
"02/17/2014","41","","STATION NEAR INTERSECTION OF WHITEROCK CANYON RD & QURAY CANAL","49-047-7022","AQS"
"02/18/2014","43","","Not Available","49-047-2002","AQS"
"02/19/2014","43","","STATION NEAR INTERSECTION OF WHITEROCK CANYON RD & QURAY CANAL","49-047-7022","AQS"
"02/20/2014","41","","Little Mountain","49-047-0014","AQS"
"02/21/2014","47","","Little Mountain","49-047-0014","AQS"
"02/22/2014","44","","Little Mountain","49-047-0014","AQS"
"02/23/2014","44","","Little Mountain","49-047-0014","AQS"
"02/24/2014","44","","Little Mountain","49-047-0014","AQS"
"02/25/2014","41","","Little Mountain","49-047-0014","AQS"
"02/26/2014","35","","STATION NEAR INTERSECTION OF WHITEROCK CANYON RD & QURAY CANAL","49-047-7022","AQS"
"02/27/2014","34","","Not Available","49-047-2003","AQS"
"02/28/2014","41","","Not Available","49-047-2003","AQS"
"03/01/2014","44","","Dinosaur NM - West Entrance Housing","49-047-1002","AQS"
"03/02/2014","43","","Dinosaur NM - West Entrance Housing","49-047-1002","AQS"
"03/03/2014","44","","STATION NEAR INTERSECTION OF WHITEROCK CANYON RD & QURAY CANAL","49-047-7022","AQS"
